overall_rank,pair1,pair2,rank_model_a_strength,zscore_model_a_strength,rank_model_b_divergence,zscore_model_b_divergence,rank_model_c_cointegration,zscore_model_c_cointegration,avg_rank,conviction_score,avg_zscore,conviction,suggested_direction
1,USDTWD,USDKRW,9.0,-0.09595495808837055,1.0,-0.09595495808837055,2.0,-0.09595495808837055,4.0,85.0,-0.09595495808837055,High,long pair2 / short pair1
2,EURUSD,USDKRW,4.0,-0.06374264458463094,5.0,-0.06374264458463094,5.0,-0.06374264458463094,4.666666666666667,81.66666666666666,-0.06374264458463094,High,long pair2 / short pair1
3,AUDNZD,USDKRW,13.0,-0.1830962449518351,3.0,-0.1830962449518351,6.0,-0.1830962449518351,7.333333333333333,68.33333333333334,-0.1830962449518351,Medium,long pair2 / short pair1
4,EURUSD,USDTWD,5.0,0.04491095711800071,21.0,0.04491095711800071,1.0,0.04491095711800071,9.0,60.0,0.044910957118000715,Medium,short pair2 / long pair1
5,GBPUSD,USDKRW,6.0,0.23795846589357506,21.0,0.23795846589357506,3.0,0.23795846589357506,10.0,55.0,0.23795846589357506,Medium,short pair2 / long pair1
6,GBPUSD,USDTWD,8.0,0.5534324527910908,21.0,0.5534324527910908,4.0,0.5534324527910908,11.0,50.0,0.5534324527910908,Medium,short pair2 / long pair1
7,GBPUSD,USDJPY,3.0,0.8466496355862559,21.0,0.8466496355862559,10.0,0.8466496355862559,11.333333333333334,48.33333333333333,0.8466496355862559,Medium,short pair2 / long pair1
8,EURUSD,GBPUSD,1.0,1.5777159973032506,21.0,1.5777159973032506,14.0,1.5777159973032506,12.0,45.0,1.5777159973032504,Medium,short pair2 / long pair1
9,EURUSD,USDCNY,16.0,0.29636072520237966,4.0,0.29636072520237966,17.0,0.29636072520237966,12.333333333333334,43.33333333333333,0.29636072520237966,Medium,short pair2 / long pair1
10,USDCNY,USDKRW,15.0,-0.1387432816064377,2.0,-0.1387432816064377,21.0,-0.1387432816064377,12.666666666666666,41.66666666666667,-0.1387432816064377,Medium,long pair2 / short pair1
11,USDCNY,USDTWD,11.0,-0.12369938705312286,21.0,-0.12369938705312286,7.0,-0.12369938705312286,13.0,40.0,-0.12369938705312285,Medium,long pair2 / short pair1
12,USDJPY,USDTWD,10.0,0.019366038677882554,21.0,0.019366038677882554,9.0,0.019366038677882554,13.333333333333334,38.33333333333333,0.019366038677882554,Low,short pair2 / long pair1
13,EURUSD,USDJPY,2.0,-0.10187187743173229,21.0,-0.10187187743173229,19.0,-0.10187187743173229,14.0,35.0,-0.10187187743173227,Low,long pair2 / short pair1
14,AUDNZD,USDCNY,21.0,0.2888644810267037,6.0,0.2888644810267037,18.0,0.2888644810267037,15.0,30.0,0.2888644810267037,Low,short pair2 / long pair1
15,USDJPY,AUDNZD,12.0,0.4793440516181777,21.0,0.4793440516181777,13.0,0.4793440516181777,15.333333333333334,28.333333333333332,0.4793440516181777,Low,short pair2 / long pair1
16,USDJPY,USDKRW,7.0,-0.063836215078362,21.0,-0.063836215078362,20.0,-0.063836215078362,16.0,25.0,-0.063836215078362,Low,long pair2 / short pair1
17,AUDNZD,USDTWD,20.0,-0.16037857836400032,21.0,-0.16037857836400032,8.0,-0.16037857836400032,16.333333333333332,23.33333333333334,-0.16037857836400032,Low,long pair2 / short pair1
18,GBPUSD,AUDNZD,18.0,0.5409807280641572,21.0,0.5409807280641572,11.0,0.5409807280641572,16.666666666666668,21.66666666666666,0.5409807280641572,Low,short pair2 / long pair1
19,USDJPY,USDCNY,14.0,0.30356196433521687,21.0,0.30356196433521687,15.0,0.30356196433521687,16.666666666666668,21.66666666666666,0.30356196433521687,Low,short pair2 / long pair1
20,EURUSD,AUDNZD,19.0,0.4824420057258503,21.0,0.4824420057258503,12.0,0.4824420057258503,17.333333333333332,18.33333333333334,0.4824420057258503,Low,short pair2 / long pair1
21,GBPUSD,USDCNY,17.0,0.4403472550221958,21.0,0.4403472550221958,16.0,0.4403472550221958,18.0,15.0,0.4403472550221958,Low,short pair2 / long pair1
