overall_rank,pair1,pair2,rank_model_a_strength,zscore_model_a_strength,adf_p_model_a_strength,adf_stat_model_a_strength,corr_1m_model_a_strength,corr_3m_model_a_strength,corr_6m_model_a_strength,corr_9m_model_a_strength,corr_12m_model_a_strength,rank_model_b_divergence,zscore_model_b_divergence,adf_p_model_b_divergence,adf_stat_model_b_divergence,corr_1m_model_b_divergence,corr_3m_model_b_divergence,corr_6m_model_b_divergence,corr_9m_model_b_divergence,corr_12m_model_b_divergence,rank_model_c_cointegration,zscore_model_c_cointegration,adf_p_model_c_cointegration,adf_stat_model_c_cointegration,corr_1m_model_c_cointegration,corr_3m_model_c_cointegration,corr_6m_model_c_cointegration,corr_9m_model_c_cointegration,corr_12m_model_c_cointegration,avg_rank,conviction_score,avg_zscore,conviction,suggested_direction,reason
1,EURUSD,USDKRW,4.0,-0.004048483820199523,,,-0.6943638280318448,-0.4711756230700781,-0.5513831561412033,-0.46796810101748215,-0.47561044346939213,3.0,-0.004048483820199523,,,-0.6943638280318448,-0.4711756230700781,-0.5513831561412033,-0.46796810101748215,-0.47561044346939213,4.0,-0.004048483820199523,0.0,-20.10892557648219,-0.6943638280318448,-0.4711756230700781,-0.5513831561412033,-0.46796810101748215,-0.47561044346939213,3.6666666666666665,86.66666666666666,-0.004048483820199523,High,long pair2 / short pair1,Model B(背离)排名第3/21：1m相关性-0.69 偏离 12m基准-0.48，背离幅度0.22；Model A(强度/稳定性)、Model C(cointegration)也将其排进前5
2,USDTWD,USDKRW,7.0,-0.03129950247256569,,,0.31441282511671936,0.6129879690947391,0.6839046055751947,0.596757847713421,0.5842605181998418,1.0,-0.03129950247256569,,,0.31441282511671936,0.6129879690947391,0.6839046055751947,0.596757847713421,0.5842605181998418,8.0,-0.03129950247256569,0.0,-19.239105862146182,0.31441282511671936,0.6129879690947391,0.6839046055751947,0.596757847713421,0.5842605181998418,5.333333333333333,78.33333333333334,-0.03129950247256569,High,long pair2 / short pair1,Model B(背离)排名第1/21：1m相关性0.31 偏离 12m基准0.58，背离幅度0.27
3,USDCNY,USDTWD,15.0,-0.11543687507488588,,,-0.012760531148202638,0.32294199780768684,0.08735248893205269,0.1434427889622731,0.1640232013034532,6.0,-0.11543687507488588,,,-0.012760531148202638,0.32294199780768684,0.08735248893205269,0.1434427889622731,0.1640232013034532,3.0,-0.11543687507488588,0.0,-20.584902475492154,-0.012760531148202638,0.32294199780768684,0.08735248893205269,0.1434427889622731,0.1640232013034532,8.0,65.0,-0.11543687507488588,Medium,long pair2 / short pair1,Model C(cointegration)排名第3/21：价差ADF检验统计量=-20.6（越负越显著），p值<0.001，存在统计意义上的均值回归证据
4,AUDNZD,USDKRW,12.0,-0.0804465249537802,,,0.2525506983678026,0.21002435564946972,0.09741170709842409,0.07688320078143632,0.09144957290295297,7.0,-0.0804465249537802,,,0.2525506983678026,0.21002435564946972,0.09741170709842409,0.07688320078143632,0.09144957290295297,9.0,-0.0804465249537802,0.0,-19.021459180553173,0.2525506983678026,0.21002435564946972,0.09741170709842409,0.07688320078143632,0.09144957290295297,9.333333333333334,58.33333333333333,-0.0804465249537802,Medium,long pair2 / short pair1,Model B(背离)排名第7/21：1m相关性0.25 偏离 12m基准0.09，背离幅度0.16
5,EURUSD,USDTWD,8.0,-0.026869849531012627,,,-0.43935464800679674,-0.468785276441328,-0.5498009391879848,-0.40890292428317004,-0.4648564581263643,21.0,-0.026869849531012627,,,-0.43935464800679674,-0.468785276441328,-0.5498009391879848,-0.40890292428317004,-0.4648564581263643,1.0,-0.026869849531012627,0.0,-21.445569050585778,-0.43935464800679674,-0.468785276441328,-0.5498009391879848,-0.40890292428317004,-0.4648564581263643,10.0,55.0,-0.026869849531012627,Medium,long pair2 / short pair1,Model C(cointegration)排名第1/21：价差ADF检验统计量=-21.4（越负越显著），p值<0.001，存在统计意义上的均值回归证据
6,GBPUSD,USDTWD,9.0,0.5158036658196024,,,-0.40397234380952757,-0.45385558549745936,-0.5324766243971328,-0.40120575486257215,-0.43840006913773355,21.0,0.5158036658196024,,,-0.40397234380952757,-0.45385558549745936,-0.5324766243971328,-0.40120575486257215,-0.43840006913773355,2.0,0.5158036658196024,0.0,-20.90579586525855,-0.40397234380952757,-0.45385558549745936,-0.5324766243971328,-0.40120575486257215,-0.43840006913773355,10.666666666666666,51.66666666666667,0.5158036658196024,Medium,short pair2 / long pair1,Model C(cointegration)排名第2/21：价差ADF检验统计量=-20.9（越负越显著），p值<0.001，存在统计意义上的均值回归证据
7,GBPUSD,USDKRW,5.0,0.31688130818037796,,,-0.518569992445579,-0.41270323698233397,-0.54173804888306,-0.4616715139093597,-0.4758288646769263,21.0,0.31688130818037796,,,-0.518569992445579,-0.41270323698233397,-0.54173804888306,-0.4616715139093597,-0.4758288646769263,7.0,0.31688130818037796,0.0,-19.33962713793469,-0.518569992445579,-0.41270323698233397,-0.54173804888306,-0.4616715139093597,-0.4758288646769263,11.0,50.0,0.31688130818037796,Medium,short pair2 / long pair1,Model A(强度/稳定性)排名第5/21：1m相关性-0.52、12m相关性-0.48，多窗口下相关性强且一致
8,GBPUSD,USDJPY,3.0,0.9674054419975749,,,-0.6547555650410863,-0.6032779243931281,-0.6232746068630801,-0.5714518719942459,-0.6124098781546958,21.0,0.9674054419975749,,,-0.6547555650410863,-0.6032779243931281,-0.6232746068630801,-0.5714518719942459,-0.6124098781546958,10.0,0.9674054419975749,6.05644106490298e-29,-16.031067700934614,-0.6547555650410863,-0.6032779243931281,-0.6232746068630801,-0.5714518719942459,-0.6124098781546958,11.333333333333334,48.33333333333333,0.9674054419975749,Medium,short pair2 / long pair1,Model A(强度/稳定性)排名第3/21：1m相关性-0.65、12m相关性-0.61，多窗口下相关性强且一致
9,USDCNY,USDKRW,13.0,-0.05069484420956899,,,-0.06097135875363252,0.3098295851224874,0.13894866089320654,0.12832839143847452,0.1596500908862428,2.0,-0.05069484420956899,,,-0.06097135875363252,0.3098295851224874,0.13894866089320654,0.12832839143847452,0.1596500908862428,20.0,-0.05069484420956899,1.784605401856819e-14,-8.829602703564635,-0.06097135875363252,0.3098295851224874,0.13894866089320654,0.12832839143847452,0.1596500908862428,11.666666666666666,46.66666666666667,-0.05069484420956899,Medium,long pair2 / short pair1,Model B(背离)排名第2/21：1m相关性-0.06 偏离 12m基准0.16，背离幅度0.22
10,USDJPY,USDTWD,10.0,-0.08089423885981023,,,0.30945599764441273,0.39311783876963013,0.531969520084682,0.3836653333833892,0.4106367755666999,21.0,-0.08089423885981023,,,0.30945599764441273,0.39311783876963013,0.531969520084682,0.3836653333833892,0.4106367755666999,5.0,-0.08089423885981023,0.0,-19.68982566968387,0.30945599764441273,0.39311783876963013,0.531969520084682,0.3836653333833892,0.4106367755666999,12.0,45.0,-0.08089423885981023,Medium,long pair2 / short pair1,Model C(cointegration)排名第5/21：价差ADF检验统计量=-19.7（越负越显著），p值<0.001，存在统计意义上的均值回归证据
11,EURUSD,GBPUSD,1.0,1.6986835013748012,,,0.8847831574347886,0.898758243989353,0.8777275536896503,0.8521372430753218,0.82786187391503,21.0,1.6986835013748012,,,0.8847831574347886,0.898758243989353,0.8777275536896503,0.8521372430753218,0.82786187391503,14.0,1.6986835013748012,7.94920703703706e-24,-12.766166760117656,0.8847831574347886,0.898758243989353,0.8777275536896503,0.8521372430753218,0.82786187391503,12.0,45.0,1.6986835013748012,Medium,short pair2 / long pair1,Model A(强度/稳定性)排名第1/21：1m相关性0.88、12m相关性0.83，多窗口下相关性强且一致
