overall_rank,pair1,pair2,rank_model_a_strength,zscore_model_a_strength,adf_p_model_a_strength,adf_stat_model_a_strength,corr_1m_model_a_strength,corr_3m_model_a_strength,corr_6m_model_a_strength,corr_9m_model_a_strength,corr_12m_model_a_strength,rank_model_b_divergence,zscore_model_b_divergence,adf_p_model_b_divergence,adf_stat_model_b_divergence,corr_1m_model_b_divergence,corr_3m_model_b_divergence,corr_6m_model_b_divergence,corr_9m_model_b_divergence,corr_12m_model_b_divergence,rank_model_c_cointegration,zscore_model_c_cointegration,adf_p_model_c_cointegration,adf_stat_model_c_cointegration,corr_1m_model_c_cointegration,corr_3m_model_c_cointegration,corr_6m_model_c_cointegration,corr_9m_model_c_cointegration,corr_12m_model_c_cointegration,avg_rank,conviction_score,avg_zscore,conviction,suggested_direction,reason,zscore,zscore_bucket,momentum,momentum_bucket,action
1,EURUSD,USDKRW,4.0,-0.06374264458463094,,,-0.6424935020628387,-0.47134380858287245,-0.5264362190771384,-0.46698182478007194,-0.47345608271630113,4.0,-0.06374264458463094,,,-0.6424935020628387,-0.47134380858287245,-0.5264362190771384,-0.46698182478007194,-0.47345608271630113,4.0,-0.06374264458463094,0.0,-20.159459623548972,-0.6424935020628387,-0.47134380858287245,-0.5264362190771384,-0.46698182478007194,-0.47345608271630113,4.0,85.0,-0.06374264458463094,High,long pair2 / short pair1,Model A(强度/稳定性)排名第4/21：1m相关性-0.64、12m相关性-0.47，多窗口下相关性强且一致；Model B(背离)、Model C(cointegration)也将其排进前5,-0.06374264458463094,neutral,0.6026687917970548,reverting,获利了结
2,USDTWD,USDKRW,9.0,-0.09595495808837055,,,0.216043264850942,0.6133486624165241,0.6370055963008104,0.5952596446702079,0.5837924140683232,1.0,-0.09595495808837055,,,0.216043264850942,0.6133486624165241,0.6370055963008104,0.5952596446702079,0.5837924140683232,9.0,-0.09595495808837055,0.0,-19.03471780667567,0.216043264850942,0.6133486624165241,0.6370055963008104,0.5952596446702079,0.5837924140683232,6.333333333333333,73.33333333333334,-0.09595495808837055,High,long pair2 / short pair1,Model B(背离)排名第1/21：1m相关性0.22 偏离 12m基准0.58，背离幅度0.37,-0.09595495808837055,neutral,0.9547285118098552,reverting,获利了结
3,AUDNZD,USDKRW,13.0,-0.1830962449518351,,,0.2647928596474896,0.20459890602316724,0.08468778962854157,0.07693203767500632,0.08972111622342861,3.0,-0.1830962449518351,,,0.2647928596474896,0.20459890602316724,0.08468778962854157,0.07693203767500632,0.08972111622342861,8.0,-0.1830962449518351,0.0,-19.050257101370104,0.2647928596474896,0.20459890602316724,0.08468778962854157,0.07693203767500632,0.08972111622342861,8.0,65.0,-0.1830962449518351,Medium,long pair2 / short pair1,Model B(背离)排名第3/21：1m相关性0.26 偏离 12m基准0.09，背离幅度0.18,-0.1830962449518351,neutral,0.6750020438532494,reverting,获利了结
4,EURUSD,USDTWD,5.0,0.04491095711800071,,,-0.46871197390955827,-0.46676720792784954,-0.549384965440174,-0.4127960552458659,-0.46451387536540406,21.0,0.04491095711800071,,,-0.46871197390955827,-0.46676720792784954,-0.549384965440174,-0.4127960552458659,-0.46451387536540406,1.0,0.04491095711800071,0.0,-21.124065910372202,-0.46871197390955827,-0.46676720792784954,-0.549384965440174,-0.4127960552458659,-0.46451387536540406,9.0,60.0,0.044910957118000715,Medium,short pair2 / long pair1,Model C(cointegration)排名第1/21：价差ADF检验统计量=-21.1（越负越显著），p值<0.001，存在统计意义上的均值回归证据；Model A(强度/稳定性)也将其排进前5,0.04491095711800071,neutral,0.9680876001063151,reverting,获利了结
5,GBPUSD,USDTWD,8.0,0.5534324527910908,,,-0.4646476034928864,-0.45369491010495167,-0.5314041167887225,-0.40575244403120675,-0.43817549290821106,21.0,0.5534324527910908,,,-0.4646476034928864,-0.45369491010495167,-0.5314041167887225,-0.40575244403120675,-0.43817549290821106,2.0,0.5534324527910908,0.0,-20.39484065734863,-0.4646476034928864,-0.45369491010495167,-0.5314041167887225,-0.40575244403120675,-0.43817549290821106,10.333333333333334,53.33333333333333,0.5534324527910908,Medium,short pair2 / long pair1,Model C(cointegration)排名第2/21：价差ADF检验统计量=-20.4（越负越显著），p值<0.001，存在统计意义上的均值回归证据,0.5534324527910908,moderate,0.3467539310970881,reverting,买入
6,GBPUSD,USDKRW,6.0,0.23795846589357506,,,-0.44695059887404426,-0.41429066356088895,-0.5201250973972577,-0.46028949153815446,-0.47408906586392596,21.0,0.23795846589357506,,,-0.44695059887404426,-0.41429066356088895,-0.5201250973972577,-0.46028949153815446,-0.47408906586392596,6.0,0.23795846589357506,0.0,-19.42747563134952,-0.44695059887404426,-0.41429066356088895,-0.5201250973972577,-0.46028949153815446,-0.47408906586392596,11.0,50.0,0.23795846589357506,Medium,short pair2 / long pair1,Model A(强度/稳定性)排名第6/21：1m相关性-0.45、12m相关性-0.47，多窗口下相关性强且一致,0.23795846589357506,neutral,-0.8875345607364459,extending,减仓
7,GBPUSD,USDJPY,3.0,0.8466496355862559,,,-0.6670836330671065,-0.6091862249042671,-0.6232259852745642,-0.5730590701570759,-0.6126435952337256,21.0,0.8466496355862559,,,-0.6670836330671065,-0.6091862249042671,-0.6232259852745642,-0.5730590701570759,-0.6126435952337256,10.0,0.8466496355862559,7.114468551720981e-29,-15.964654381208076,-0.6670836330671065,-0.6091862249042671,-0.6232259852745642,-0.5730590701570759,-0.6126435952337256,11.333333333333334,48.33333333333333,0.8466496355862559,Medium,short pair2 / long pair1,Model A(强度/稳定性)排名第3/21：1m相关性-0.67、12m相关性-0.61，多窗口下相关性强且一致,0.8466496355862559,moderate,-0.7308516281675561,extending,观望
8,USDCNY,USDTWD,11.0,-0.03580241322161995,,,0.08053763451668355,0.32280544502989295,0.08812589821360785,0.14255627455733144,0.1641398557118409,21.0,-0.03580241322161995,,,0.08053763451668355,0.32280544502989295,0.08812589821360785,0.14255627455733144,0.1641398557118409,3.0,-0.03580241322161995,0.0,-20.290752886102204,0.08053763451668355,0.32280544502989295,0.08812589821360785,0.14255627455733144,0.1641398557118409,11.666666666666666,46.66666666666667,-0.03580241322161995,Medium,long pair2 / short pair1,Model C(cointegration)排名第3/21：价差ADF检验统计量=-20.3（越负越显著），p值<0.001，存在统计意义上的均值回归证据,-0.03580241322161995,neutral,-0.6321797363177997,extending,减仓
9,EURUSD,GBPUSD,1.0,1.5777159973032506,,,0.8867158945053664,0.8994846758033834,0.8776832380995107,0.8531681959183128,0.8279362939782572,21.0,1.5777159973032506,,,0.8867158945053664,0.8994846758033834,0.8776832380995107,0.8531681959183128,0.8279362939782572,14.0,1.5777159973032506,2.520170464793169e-24,-13.015139705639449,0.8867158945053664,0.8994846758033834,0.8776832380995107,0.8531681959183128,0.8279362939782572,12.0,45.0,1.5777159973032504,Medium,short pair2 / long pair1,Model A(强度/稳定性)排名第1/21：1m相关性0.89、12m相关性0.83，多窗口下相关性强且一致,1.5777159973032506,extreme,-1.4996013428224841,extending,谨慎加仓
10,USDJPY,USDTWD,10.0,0.019366038677882554,,,0.34380133694273424,0.39261860806059184,0.5295399053527581,0.38606609224730826,0.41002988260454,21.0,0.019366038677882554,,,0.34380133694273424,0.39261860806059184,0.5295399053527581,0.38606609224730826,0.41002988260454,5.0,0.019366038677882554,0.0,-19.4445846063622,0.34380133694273424,0.39261860806059184,0.5295399053527581,0.38606609224730826,0.41002988260454,12.0,45.0,0.019366038677882554,Medium,short pair2 / long pair1,Model C(cointegration)排名第5/21：价差ADF检验统计量=-19.4（越负越显著），p值<0.001，存在统计意义上的均值回归证据,0.019366038677882554,neutral,0.6014053411138042,reverting,获利了结
