series_id,workbook_column,workbook_name,latest_reference_period,workbook_update_date,official_release_date,workbook_minus_official_days,status,note,official_url
cn_cpi_mom,2,中国:CPI:环比,2026-07-31,2026-08-09,2026-08-09,0,official_match,,https://www.stats.gov.cn/sj/zxfbhjd/202608/t20260809_1965008.html
cn_ppi_mom,3,中国:PPI:环比,2026-07-31,2026-08-09,2026-08-09,0,official_match,,https://www.stats.gov.cn/sj/zxfbhjd/202608/t20260809_1965008.html
cn_manufacturing_pmi,4,中国:制造业PMI,2026-07-31,2026-07-31,2026-07-31,0,official_match,,https://www.stats.gov.cn/zwfwck/sjfb/202607/t20260731_1964253.html
cn_manufacturing_new_export_orders,5,中国:制造业PMI:新出口订单,2026-07-31,2026-07-31,2026-07-31,0,official_match,,https://www.stats.gov.cn/zwfwck/sjfb/202607/t20260731_1964253.html
cn_industrial_production_mom,6,中国:工业增加值:规模以上工业企业:季调:环比,2026-07-31,2026-08-17,2026-08-17,0,official_match,,https://www.stats.gov.cn/sj/zxfb/202608/t20260817_1965056.html
cn_retail_sales_yoy,7,中国:社会消费品零售总额:当月同比(1-2月合并),2026-07-31,2026-08-17,2026-08-17,0,official_match,,https://www.stats.gov.cn/sj/zxfb/202608/t20260817_1965056.html
cn_real_gdp_yoy,8,中国:GDP:不变价:同比,2026-06-30,2026-08-11,2026-07-16,26,late_vendor_update,Official detailed Q2 release was 2026-07-16; workbook date is 26 days later.,https://www.stats.gov.cn/sj/zxfb/202607/t20260716_1964142.html
cn_tsf_stock_yoy,9,中国:社会融资规模存量:同比,2026-07-31,2026-08-14,2026-08-14,0,date_match_time_unverified,,https://www.pbc.gov.cn/diaochatongjisi/116219/116319/index.html
cn_m1_yoy,10,中国:M1:同比,2026-07-31,2026-08-14,2026-08-14,0,date_match_time_unverified,,https://www.pbc.gov.cn/diaochatongjisi/116219/116319/index.html
cn_m2_yoy,11,中国:M2:同比,2026-07-31,2026-08-14,2026-08-14,0,date_match_time_unverified,,https://www.pbc.gov.cn/diaochatongjisi/116219/116319/index.html
cn_home_sales_area_ytd_yoy,12,中国:商品房销售面积:累计同比,2026-07-31,2026-08-17,2026-08-17,0,official_match,,https://www.stats.gov.cn/sj/zxfb/202608/t20260817_1965056.html
cn_property_investment_ytd_yoy,13,中国:房地产开发投资完成额:累计同比,2026-07-31,2026-08-17,2026-08-17,0,official_match,,https://www.stats.gov.cn/sj/zxfb/202608/t20260817_1965056.html
cn_trade_balance_yoy,14,中国:贸易差额:当月同比,2026-07-31,2026-08-18,2026-08-07,11,late_vendor_update,Customs headline was released 2026-08-07; workbook date is 11 days later.,https://english.customs.gov.cn/statics/report/monthly.html
us_real_gdp_yoy,15,美国:GDP:不变价:季调:折年数:同比,2026-06-30,2026-07-30,2026-07-30,0,official_match,,https://www.bea.gov/news/2026/gdp-advance-estimate-2nd-quarter-2026
us_cpi_nsa_mom,16,美国:CPI:非季调:环比,2026-07-31,2026-08-12,2026-08-12,0,official_match,,https://www.bls.gov/news.release/archives/cpi_08122026.htm
us_core_cpi_nsa_mom,17,美国:核心CPI:非季调:环比,2026-07-31,2026-08-12,2026-08-12,0,official_match,,https://www.bls.gov/news.release/archives/cpi_08122026.htm
us_core_pce_sa_mom,18,美国:核心PCE价格指数:季调:环比,2026-06-30,2026-07-30,2026-07-30,0,official_match,,https://www.bea.gov/news/schedule
us_ppi_final_demand_sa_mom,19,美国:PPI:最终需求:季调:环比,2026-07-31,2026-08-13,2026-08-13,0,official_match,,https://www.bls.gov/news.release/ppi.htm
us_ppi_goods_sa_mom,20,美国:PPI:最终需求:商品:季调:环比,2026-07-31,2026-08-13,2026-08-13,0,official_match,,https://www.bls.gov/news.release/ppi.htm
us_ppi_services_sa_mom,21,美国:PPI:最终需求:服务:季调:环比,2026-07-31,2026-08-13,2026-08-13,0,official_match,,https://www.bls.gov/news.release/ppi.htm
us_unemployment_u3_sa,22,美国:失业率:U3:季调,2026-07-31,2026-08-07,2026-08-07,0,official_match,,https://www.bls.gov/news.release/empsit.htm
us_unemployment_u6_sa,23,美国:失业率:U6:季调,2026-07-31,2026-08-07,2026-08-07,0,official_match,,https://www.bls.gov/news.release/empsit.htm
us_unemployment_u1_sa,24,美国:失业率:U1:季调,2026-07-31,2026-08-07,2026-08-07,0,official_match,,https://www.bls.gov/news.release/empsit.htm
us_retail_sales_yoy,25,美国:零售和食品服务销售额:季调:当月同比,2026-07-31,2026-08-14,2026-08-14,0,official_match,,https://www.census.gov/retail/release_schedule.html
us_ism_manufacturing_pmi,26,美国:ISM:制造业PMI,2026-07-31,2026-08-03,2026-08-03,0,official_match,,https://www.ismworld.org/supply-management-news-and-reports/reports/rob-report-calendar/
us_ism_services_pmi,27,美国:ISM:服务业PMI,2026-07-31,2026-08-05,2026-08-05,0,official_match,,https://www.ismworld.org/supply-management-news-and-reports/reports/rob-report-calendar/
us_retail_sales_yoy_duplicate,28,美国:零售和食品服务销售额:季调:当月同比,2026-07-31,2026-08-14,2026-08-14,0,exact_duplicate_excluded,,https://www.census.gov/retail/release_schedule.html
us_industrial_production_yoy,29,美国:工业产出指数:季调:当月同比,2026-07-31,2026-08-18,2026-08-18,0,official_match,,https://www.federalreserve.gov/releases/g17/
