instrument,asset_class,signal_variant,technical_indicator,active_position_days,status,sharpe,max_drawdown,annualized_return,turnover
UST_2Y,UST,momentum,20/60日价格趋势（利率为反向收益率变化）,969,evaluated,-0.1273156339,-0.03850228668,-0.003991065098,0.2062182506
UST_2Y,UST,carry_signal,持有收益/曲线滚降,0,unavailable_input_or_no_signal,0,0,0,0
UST_2Y,UST,mean_reversion,60日价格或收益率水平Z分数反转,969,evaluated,0.206314621,-0.05125844068,0.005953605718,0.2679837394
UST_2Y,UST,macro_signal,发布时点对齐的宏观篮子Z分数,969,evaluated,-0.02760720679,-0.04875659599,-0.001009817001,0.07523153509
UST_2Y,UST,composite_signal,可用因子动态再加权综合信号,969,evaluated,0.04295148078,-0.03545518861,0.0006991165756,0.1089475092
UST_5Y,UST,momentum,20/60日价格趋势（利率为反向收益率变化）,969,evaluated,-0.1233614452,-0.08855576122,-0.00859714475,0.1997042146
UST_5Y,UST,carry_signal,持有收益/曲线滚降,0,unavailable_input_or_no_signal,0,0,0,0
UST_5Y,UST,mean_reversion,60日价格或收益率水平Z分数反转,969,evaluated,0.03147202363,-0.1301777137,-0.0001001382143,0.2407649986
UST_5Y,UST,macro_signal,发布时点对齐的宏观篮子Z分数,969,evaluated,-0.04333206793,-0.1110853934,-0.004178990871,0.07505519467
UST_5Y,UST,composite_signal,可用因子动态再加权综合信号,969,evaluated,-0.02281106356,-0.07496071492,-0.001798709744,0.1035434883
UST_10Y,UST,momentum,20/60日价格趋势（利率为反向收益率变化）,969,evaluated,-0.2685025187,-0.1271498926,-0.01925808941,0.1609492818
UST_10Y,UST,carry_signal,持有收益/曲线滚降,0,unavailable_input_or_no_signal,0,0,0,0
UST_10Y,UST,mean_reversion,60日价格或收益率水平Z分数反转,969,evaluated,0.09578697914,-0.1441425141,0.004380917179,0.1861545569
UST_10Y,UST,macro_signal,发布时点对齐的宏观篮子Z分数,969,evaluated,-0.1275058581,-0.1457208072,-0.01091643064,0.05947790189
UST_10Y,UST,composite_signal,可用因子动态再加权综合信号,969,evaluated,-0.1623905583,-0.0989548331,-0.008699851947,0.08230429682
UST_30Y,UST,momentum,20/60日价格趋势（利率为反向收益率变化）,969,evaluated,-0.6444763833,-0.1864427266,-0.04157513707,0.1047332171
UST_30Y,UST,carry_signal,持有收益/曲线滚降,0,unavailable_input_or_no_signal,0,0,0,0
UST_30Y,UST,mean_reversion,60日价格或收益率水平Z分数反转,969,evaluated,0.4202550517,-0.1248548986,0.02867409692,0.1190411228
UST_30Y,UST,macro_signal,发布时点对齐的宏观篮子Z分数,969,evaluated,-0.2145162606,-0.1540894366,-0.01711419368,0.03582701847
UST_30Y,UST,composite_signal,可用因子动态再加权综合信号,969,evaluated,-0.4166285675,-0.1316590532,-0.01988572591,0.05285924377
USDCNY,FX,momentum,20/60日价格趋势（利率为反向收益率变化）,969,evaluated,0.1845912101,-0.0542288421,0.006370296442,0.176460698
USDCNY,FX,carry_signal,持有收益/曲线滚降,0,unavailable_input_or_no_signal,0,0,0,0
USDCNY,FX,mean_reversion,60日价格或收益率水平Z分数反转,969,evaluated,-1.009865991,-0.1846117835,-0.04887025556,0.1771568488
USDCNY,FX,macro_signal,发布时点对齐的宏观篮子Z分数,969,evaluated,-0.3699749802,-0.09182196613,-0.01567580028,0.1497662907
USDCNY,FX,composite_signal,可用因子动态再加权综合信号,969,evaluated,-0.3469853325,-0.08544487297,-0.01077720314,0.1430708212
USDJPY,FX,momentum,20/60日价格趋势（利率为反向收益率变化）,966,evaluated,-0.1155667793,-0.1459533406,-0.01081588904,0.1131074949
USDJPY,FX,carry_signal,持有收益/曲线滚降,0,unavailable_input_or_no_signal,0,0,0,0
USDJPY,FX,mean_reversion,60日价格或收益率水平Z分数反转,968,evaluated,-0.1421526705,-0.2188744396,-0.0171063946,0.1060503533
USDJPY,FX,macro_signal,发布时点对齐的宏观篮子Z分数,969,evaluated,0.4909260517,-0.1461991061,0.03537811598,0.04383985189
USDJPY,FX,composite_signal,可用因子动态再加权综合信号,969,evaluated,0.1468606921,-0.0855787546,0.006285302586,0.07026855004
AUDUSD,FX,momentum,20/60日价格趋势（利率为反向收益率变化）,969,evaluated,-0.6676581058,-0.2168963961,-0.04307193432,0.1408545471
AUDUSD,FX,carry_signal,持有收益/曲线滚降,0,unavailable_input_or_no_signal,0,0,0,0
AUDUSD,FX,mean_reversion,60日价格或收益率水平Z分数反转,969,evaluated,0.8102442062,-0.1063100849,0.06044041213,0.169419517
AUDUSD,FX,macro_signal,发布时点对齐的宏观篮子Z分数,969,evaluated,-0.2720853378,-0.2161623238,-0.02260591364,0.07211219542
AUDUSD,FX,composite_signal,可用因子动态再加权综合信号,969,evaluated,-0.4106464971,-0.1618945768,-0.02035622854,0.09190994403
EURUSD,FX,momentum,20/60日价格趋势（利率为反向收益率变化）,969,evaluated,0.0665487695,-0.1102321411,0.002216826684,0.1624031332
EURUSD,FX,carry_signal,持有收益/曲线滚降,0,unavailable_input_or_no_signal,0,0,0,0
EURUSD,FX,mean_reversion,60日价格或收益率水平Z分数反转,969,evaluated,0.2884923091,-0.1447279231,0.01872128577,0.2071181289
EURUSD,FX,macro_signal,发布时点对齐的宏观篮子Z分数,969,evaluated,0.2049900479,-0.1081408483,0.01239970886,0.05642985795
EURUSD,FX,composite_signal,可用因子动态再加权综合信号,969,evaluated,0.1386995708,-0.07738709285,0.006021449222,0.09299319137
