date,equity
2020-11-25,0.9998757625
2020-11-26,0.9974133067
2020-11-27,0.9965835742
2020-11-30,1.003265026
2020-12-01,1.004176076
2020-12-02,1.008315919
2020-12-03,1.016338991
2020-12-04,1.022631478
2020-12-07,1.02224635
2020-12-08,1.022562136
2020-12-09,1.017461879
2020-12-10,1.015515921
2020-12-11,1.023532223
2020-12-14,1.024024594
2020-12-15,1.025095061
2020-12-16,1.026082037
2020-12-17,1.022104108
2020-12-18,1.02476703
2020-12-21,1.022135855
2020-12-22,1.022407448
2020-12-23,1.025943878
2020-12-24,1.028143926
2020-12-25,1.025069828
2020-12-28,1.028926042
2020-12-29,1.031251919
2020-12-30,1.031915203
2020-12-31,1.028831659
2021-01-01,1.022126017
2021-01-04,1.019878878
2021-01-05,1.021536526
2021-01-06,1.023428291
2021-01-07,1.024588138
2021-01-08,1.021058543
2021-01-11,1.016755747
2021-01-12,1.017049159
2021-01-13,1.017083639
2021-01-14,1.011030886
2021-01-15,1.013617929
2021-01-18,1.010726021
2021-01-19,1.009071215
2021-01-20,1.007445177
2021-01-21,1.006900652
2021-01-22,1.010839612
2021-01-25,1.013076834
2021-01-26,1.017209583
2021-01-27,1.014340775
2021-01-28,1.011625154
2021-01-29,1.012837667
2021-02-01,1.009768732
2021-02-02,1.010800413
2021-02-03,1.011190885
2021-02-04,1.006747202
2021-02-05,1.003451437
2021-02-08,1.004787999
2021-02-09,1.004449832
2021-02-10,1.006653791
2021-02-11,1.009503131
2021-02-12,1.009754526
2021-02-15,1.011853216
2021-02-16,1.010673195
2021-02-17,1.011705869
2021-02-18,1.014994023
2021-02-19,1.014117542
2021-02-22,1.012795286
2021-02-23,1.012829029
2021-02-24,1.009858326
2021-02-25,1.010796409
2021-02-26,1.009823909
2021-03-01,1.005822167
2021-03-02,1.006227098
2021-03-03,1.005253549
2021-03-04,1.005968414
2021-03-05,1.001887174
2021-03-08,1.003460952
2021-03-09,1.002625373
2021-03-10,1.005947431
2021-03-11,1.00886679
2021-03-12,1.009398645
2021-03-15,1.006732376
2021-03-16,1.004451008
2021-03-17,1.006376736
2021-03-18,1.011168053
2021-03-19,1.01053306
2021-03-22,1.009137859
2021-03-23,1.010535311
2021-03-24,1.009049136
2021-03-25,1.01089843
2021-03-26,1.009914593
2021-03-29,1.00615337
2021-03-30,1.001305981
2021-03-31,1.001706211
2021-04-01,1.002309656
2021-04-02,1.000617589
2021-04-05,0.998476064
2021-04-06,0.9980806232
2021-04-07,0.9986622815
2021-04-08,0.9983270921
2021-04-09,1.000987336
2021-04-12,0.9986376262
2021-04-13,0.9960069133
2021-04-14,0.9939255169
2021-04-15,0.9917861527
2021-04-16,0.9926353283
2021-04-19,0.9903696714
2021-04-20,0.9964093834
2021-04-21,0.9983116475
2021-04-22,1.000867072
2021-04-23,1.003286482
2021-04-26,1.003692203
2021-04-27,1.002186636
2021-04-28,1.005554604
2021-04-29,1.005970083
2021-04-30,1.005786545
2021-05-03,1.005822254
2021-05-04,1.009221425
2021-05-05,1.007760614
2021-05-06,1.013309826
2021-05-07,1.015061623
2021-05-10,1.019674176
2021-05-11,1.01865903
2021-05-12,1.012417983
2021-05-13,1.015857168
2021-05-14,1.013798797
2021-05-17,1.010864616
2021-05-18,1.010859961
2021-05-19,1.004084699
2021-05-20,1.00355991
2021-05-21,1.005662919
2021-05-24,1.00456622
2021-05-25,1.001424711
2021-05-26,1.001378471
