instrument,asset_class,data_status,signal_variant,technical_indicator,fast_window,medium_window,zscore_window,signal_clip,volatility_window,target_volatility,max_instrument_leverage,cost_bps,return_model,duration,train_size,test_size,step,parameter_selection
UST_2Y,UST,available,momentum,20/60日价格趋势（利率为反向收益率变化）,20,60,252,3,60,0.1,2,0.4,yield_duration,1.9,756,252,252,fixed_before_oos
UST_2Y,UST,available,carry_signal,持有收益/曲线滚降,20,60,252,3,60,0.1,2,0.4,yield_duration,1.9,756,252,252,fixed_before_oos
UST_2Y,UST,available,mean_reversion,60日价格或收益率水平Z分数反转,20,60,252,3,60,0.1,2,0.4,yield_duration,1.9,756,252,252,fixed_before_oos
UST_2Y,UST,available,macro_signal,发布时点对齐的宏观篮子Z分数,20,60,252,3,60,0.1,2,0.4,yield_duration,1.9,756,252,252,fixed_before_oos
UST_2Y,UST,available,composite_signal,可用因子动态再加权综合信号,20,60,252,3,60,0.1,2,0.4,yield_duration,1.9,756,252,252,fixed_before_oos
UST_5Y,UST,available,momentum,20/60日价格趋势（利率为反向收益率变化）,20,60,252,3,60,0.1,2,0.5,yield_duration,4.6,756,252,252,fixed_before_oos
UST_5Y,UST,available,carry_signal,持有收益/曲线滚降,20,60,252,3,60,0.1,2,0.5,yield_duration,4.6,756,252,252,fixed_before_oos
UST_5Y,UST,available,mean_reversion,60日价格或收益率水平Z分数反转,20,60,252,3,60,0.1,2,0.5,yield_duration,4.6,756,252,252,fixed_before_oos
UST_5Y,UST,available,macro_signal,发布时点对齐的宏观篮子Z分数,20,60,252,3,60,0.1,2,0.5,yield_duration,4.6,756,252,252,fixed_before_oos
UST_5Y,UST,available,composite_signal,可用因子动态再加权综合信号,20,60,252,3,60,0.1,2,0.5,yield_duration,4.6,756,252,252,fixed_before_oos
UST_10Y,UST,available,momentum,20/60日价格趋势（利率为反向收益率变化）,20,60,252,3,60,0.1,2,0.7,yield_duration,8.2,756,252,252,fixed_before_oos
UST_10Y,UST,available,carry_signal,持有收益/曲线滚降,20,60,252,3,60,0.1,2,0.7,yield_duration,8.2,756,252,252,fixed_before_oos
UST_10Y,UST,available,mean_reversion,60日价格或收益率水平Z分数反转,20,60,252,3,60,0.1,2,0.7,yield_duration,8.2,756,252,252,fixed_before_oos
UST_10Y,UST,available,macro_signal,发布时点对齐的宏观篮子Z分数,20,60,252,3,60,0.1,2,0.7,yield_duration,8.2,756,252,252,fixed_before_oos
UST_10Y,UST,available,composite_signal,可用因子动态再加权综合信号,20,60,252,3,60,0.1,2,0.7,yield_duration,8.2,756,252,252,fixed_before_oos
UST_30Y,UST,available,momentum,20/60日价格趋势（利率为反向收益率变化）,20,60,252,3,60,0.1,2,1.2,yield_duration,15.5,756,252,252,fixed_before_oos
UST_30Y,UST,available,carry_signal,持有收益/曲线滚降,20,60,252,3,60,0.1,2,1.2,yield_duration,15.5,756,252,252,fixed_before_oos
UST_30Y,UST,available,mean_reversion,60日价格或收益率水平Z分数反转,20,60,252,3,60,0.1,2,1.2,yield_duration,15.5,756,252,252,fixed_before_oos
UST_30Y,UST,available,macro_signal,发布时点对齐的宏观篮子Z分数,20,60,252,3,60,0.1,2,1.2,yield_duration,15.5,756,252,252,fixed_before_oos
UST_30Y,UST,available,composite_signal,可用因子动态再加权综合信号,20,60,252,3,60,0.1,2,1.2,yield_duration,15.5,756,252,252,fixed_before_oos
US_IRS_5Y,IRS,missing,momentum,20/60日价格趋势（利率为反向收益率变化）,20,60,252,3,60,0.1,2,0.8,yield_duration,4.5,756,252,252,fixed_before_oos
US_IRS_5Y,IRS,missing,carry_signal,持有收益/曲线滚降,20,60,252,3,60,0.1,2,0.8,yield_duration,4.5,756,252,252,fixed_before_oos
US_IRS_5Y,IRS,missing,mean_reversion,60日价格或收益率水平Z分数反转,20,60,252,3,60,0.1,2,0.8,yield_duration,4.5,756,252,252,fixed_before_oos
US_IRS_5Y,IRS,missing,macro_signal,发布时点对齐的宏观篮子Z分数,20,60,252,3,60,0.1,2,0.8,yield_duration,4.5,756,252,252,fixed_before_oos
US_IRS_5Y,IRS,missing,composite_signal,可用因子动态再加权综合信号,20,60,252,3,60,0.1,2,0.8,yield_duration,4.5,756,252,252,fixed_before_oos
CN_IRS_5Y,IRS,missing,momentum,20/60日价格趋势（利率为反向收益率变化）,20,60,252,3,60,0.1,2,0.8,yield_duration,4.4,756,252,252,fixed_before_oos
CN_IRS_5Y,IRS,missing,carry_signal,持有收益/曲线滚降,20,60,252,3,60,0.1,2,0.8,yield_duration,4.4,756,252,252,fixed_before_oos
CN_IRS_5Y,IRS,missing,mean_reversion,60日价格或收益率水平Z分数反转,20,60,252,3,60,0.1,2,0.8,yield_duration,4.4,756,252,252,fixed_before_oos
CN_IRS_5Y,IRS,missing,macro_signal,发布时点对齐的宏观篮子Z分数,20,60,252,3,60,0.1,2,0.8,yield_duration,4.4,756,252,252,fixed_before_oos
CN_IRS_5Y,IRS,missing,composite_signal,可用因子动态再加权综合信号,20,60,252,3,60,0.1,2,0.8,yield_duration,4.4,756,252,252,fixed_before_oos
USDCNY,FX,available,momentum,20/60日价格趋势（利率为反向收益率变化）,20,60,252,3,60,0.1,2,1.2,log_price,,756,252,252,fixed_before_oos
USDCNY,FX,available,carry_signal,持有收益/曲线滚降,20,60,252,3,60,0.1,2,1.2,log_price,,756,252,252,fixed_before_oos
USDCNY,FX,available,mean_reversion,60日价格或收益率水平Z分数反转,20,60,252,3,60,0.1,2,1.2,log_price,,756,252,252,fixed_before_oos
USDCNY,FX,available,macro_signal,发布时点对齐的宏观篮子Z分数,20,60,252,3,60,0.1,2,1.2,log_price,,756,252,252,fixed_before_oos
