instrument,asset_class,signal_variant,technical_indicator,windows,average_oos_sharpe,worst_window_sharpe,positive_sharpe_fraction,average_oos_annualized_return,average_oos_max_drawdown,worst_oos_max_drawdown,average_oos_turnover,active_position_days,effective,effectiveness_status,effectiveness_reason
UST_2Y,UST,momentum,20/60日价格趋势（利率为反向收益率变化）,3,-0.1709761374,-0.9748391017,0.3333333333,-0.003632235065,-0.0275203571,-0.0334160329,0.1936717557,756,False,not_effective,average_oos_sharpe -0.1710 >= 0.5000 failed; worst_window_sharpe -0.9748 >= -0.5000 failed; positive_sharpe_fraction 0.3333 >= 0.6667 failed; average_oos_annualized_return -0.0036 >= 0.0000 failed
UST_2Y,UST,carry_signal,持有收益/曲线滚降,3,0,0,0,0,0,0,0,0,False,unavailable_input_or_no_signal,unavailable_input_or_no_signal
UST_2Y,UST,mean_reversion,60日价格或收益率水平Z分数反转,3,0.1722105654,-1.40231875,0.6666666667,0.006456825377,-0.03006200702,-0.05125844068,0.2514308235,756,False,not_effective,average_oos_sharpe 0.1722 >= 0.5000 failed; worst_window_sharpe -1.4023 >= -0.5000 failed
UST_2Y,UST,macro_signal,发布时点对齐的宏观篮子Z分数,3,-0.4244902588,-1.332620283,0.3333333333,-0.009641049756,-0.03204879085,-0.04875659599,0.07771572421,756,False,not_effective,average_oos_sharpe -0.4245 >= 0.5000 failed; worst_window_sharpe -1.3326 >= -0.5000 failed; positive_sharpe_fraction 0.3333 >= 0.6667 failed; average_oos_annualized_return -0.0096 >= 0.0000 failed
UST_2Y,UST,composite_signal,可用因子动态再加权综合信号,3,-0.2422480263,-1.19495441,0.3333333333,-0.004667842644,-0.0227557461,-0.03545518861,0.1093951187,756,False,not_effective,average_oos_sharpe -0.2422 >= 0.5000 failed; worst_window_sharpe -1.1950 >= -0.5000 failed; positive_sharpe_fraction 0.3333 >= 0.6667 failed; average_oos_annualized_return -0.0047 >= 0.0000 failed
UST_5Y,UST,momentum,20/60日价格趋势（利率为反向收益率变化）,3,-0.04417113974,-0.6387204062,0.3333333333,-0.001632643205,-0.06020165944,-0.06382706113,0.180472923,756,False,not_effective,average_oos_sharpe -0.0442 >= 0.5000 failed; worst_window_sharpe -0.6387 >= -0.5000 failed; positive_sharpe_fraction 0.3333 >= 0.6667 failed; average_oos_annualized_return -0.0016 >= 0.0000 failed
UST_5Y,UST,carry_signal,持有收益/曲线滚降,3,0,0,0,0,0,0,0,0,False,unavailable_input_or_no_signal,unavailable_input_or_no_signal
UST_5Y,UST,mean_reversion,60日价格或收益率水平Z分数反转,3,-0.05888271668,-1.27514804,0.6666666667,-0.006654264447,-0.06618210162,-0.08974264743,0.2175855156,756,False,not_effective,average_oos_sharpe -0.0589 >= 0.5000 failed; worst_window_sharpe -1.2751 >= -0.5000 failed; average_oos_annualized_return -0.0067 >= 0.0000 failed
UST_5Y,UST,macro_signal,发布时点对齐的宏观篮子Z分数,3,-0.3484281745,-1.16093432,0.3333333333,-0.01708715198,-0.06984819727,-0.1008271996,0.07747285535,756,False,not_effective,average_oos_sharpe -0.3484 >= 0.5000 failed; worst_window_sharpe -1.1609 >= -0.5000 failed; positive_sharpe_fraction 0.3333 >= 0.6667 failed; average_oos_annualized_return -0.0171 >= 0.0000 failed
UST_5Y,UST,composite_signal,可用因子动态再加权综合信号,3,-0.3018381042,-1.138093553,0.3333333333,-0.009937846595,-0.04872683404,-0.06294253607,0.100215141,756,False,not_effective,average_oos_sharpe -0.3018 >= 0.5000 failed; worst_window_sharpe -1.1381 >= -0.5000 failed; positive_sharpe_fraction 0.3333 >= 0.6667 failed; average_oos_annualized_return -0.0099 >= 0.0000 failed
UST_10Y,UST,momentum,20/60日价格趋势（利率为反向收益率变化）,3,-0.02660740011,-0.5080319506,0.3333333333,-0.003886695687,-0.0724889639,-0.09028213599,0.1301258207,756,False,not_effective,average_oos_sharpe -0.0266 >= 0.5000 failed; worst_window_sharpe -0.5080 >= -0.5000 failed; positive_sharpe_fraction 0.3333 >= 0.6667 failed; average_oos_annualized_return -0.0039 >= 0.0000 failed
UST_10Y,UST,carry_signal,持有收益/曲线滚降,3,0,0,0,0,0,0,0,0,False,unavailable_input_or_no_signal,unavailable_input_or_no_signal
UST_10Y,UST,mean_reversion,60日价格或收益率水平Z分数反转,3,-0.1066737678,-0.9770657967,0.6666666667,-0.008897118278,-0.07435503583,-0.08904222757,0.1572537951,756,False,not_effective,average_oos_sharpe -0.1067 >= 0.5000 failed; worst_window_sharpe -0.9771 >= -0.5000 failed; average_oos_annualized_return -0.0089 >= 0.0000 failed
UST_10Y,UST,macro_signal,发布时点对齐的宏观篮子Z分数,3,-0.3972859843,-1.192409919,0.3333333333,-0.02355323037,-0.07536160676,-0.1039475377,0.05667202572,756,False,not_effective,average_oos_sharpe -0.3973 >= 0.5000 failed; worst_window_sharpe -1.1924 >= -0.5000 failed; positive_sharpe_fraction 0.3333 >= 0.6667 failed; average_oos_annualized_return -0.0236 >= 0.0000 failed
UST_10Y,UST,composite_signal,可用因子动态再加权综合信号,3,-0.3370228815,-1.13919232,0.3333333333,-0.01489225246,-0.05289871204,-0.0607672976,0.07269705575,756,False,not_effective,average_oos_sharpe -0.3370 >= 0.5000 failed; worst_window_sharpe -1.1392 >= -0.5000 failed; positive_sharpe_fraction 0.3333 >= 0.6667 failed; average_oos_annualized_return -0.0149 >= 0.0000 failed
UST_30Y,UST,momentum,20/60日价格趋势（利率为反向收益率变化）,3,-0.3628641875,-0.7994517989,0.3333333333,-0.02500035225,-0.09030504398,-0.1100099827,0.08440013943,756,False,not_effective,average_oos_sharpe -0.3629 >= 0.5000 failed; worst_window_sharpe -0.7995 >= -0.5000 failed; positive_sharpe_fraction 0.3333 >= 0.6667 failed; average_oos_annualized_return -0.0250 >= 0.0000 failed
UST_30Y,UST,carry_signal,持有收益/曲线滚降,3,0,0,0,0,0,0,0,0,False,unavailable_input_or_no_signal,unavailable_input_or_no_signal
UST_30Y,UST,mean_reversion,60日价格或收益率水平Z分数反转,3,0.2650727312,-0.3905920695,0.6666666667,0.0184966034,-0.07245468745,-0.1089425187,0.1054403699,756,False,not_effective,average_oos_sharpe 0.2651 >= 0.5000 failed
UST_30Y,UST,macro_signal,发布时点对齐的宏观篮子Z分数,3,-0.4103690757,-1.390232549,0.3333333333,-0.02451301607,-0.07414336082,-0.1097280678,0.03215833941,756,False,not_effective,average_oos_sharpe -0.4104 >= 0.5000 failed; worst_window_sharpe -1.3902 >= -0.5000 failed; positive_sharpe_fraction 0.3333 >= 0.6667 failed; average_oos_annualized_return -0.0245 >= 0.0000 failed
UST_30Y,UST,composite_signal,可用因子动态再加权综合信号,3,-0.4596693719,-1.056041169,0.3333333333,-0.02108934134,-0.05901711126,-0.07142836766,0.04580416604,756,False,not_effective,average_oos_sharpe -0.4597 >= 0.5000 failed; worst_window_sharpe -1.0560 >= -0.5000 failed; positive_sharpe_fraction 0.3333 >= 0.6667 failed; average_oos_annualized_return -0.0211 >= 0.0000 failed
USDCNY,FX,momentum,20/60日价格趋势（利率为反向收益率变化）,3,0.1343385133,-0.2799216347,0.3333333333,0.006869082444,-0.04539832976,-0.05167948871,0.1575452588,756,False,not_effective,average_oos_sharpe 0.1343 >= 0.5000 failed; positive_sharpe_fraction 0.3333 >= 0.6667 failed
USDCNY,FX,carry_signal,持有收益/曲线滚降,3,0,0,0,0,0,0,0,0,False,unavailable_input_or_no_signal,unavailable_input_or_no_signal
USDCNY,FX,mean_reversion,60日价格或收益率水平Z分数反转,3,-0.6310380915,-1.212560513,0,-0.03619302113,-0.06450631796,-0.09322682199,0.1884977559,756,False,not_effective,average_oos_sharpe -0.6310 >= 0.5000 failed; worst_window_sharpe -1.2126 >= -0.5000 failed; positive_sharpe_fraction 0.0000 >= 0.6667 failed; average_oos_annualized_return -0.0362 >= 0.0000 failed
USDCNY,FX,macro_signal,发布时点对齐的宏观篮子Z分数,3,0.02598572425,-0.4615491922,0.3333333333,-0.003485285851,-0.04462459005,-0.05890041286,0.1562628934,756,False,not_effective,average_oos_sharpe 0.0260 >= 0.5000 failed; positive_sharpe_fraction 0.3333 >= 0.6667 failed; average_oos_annualized_return -0.0035 >= 0.0000 failed
USDCNY,FX,composite_signal,可用因子动态再加权综合信号,3,-0.03663042732,-0.1601650989,0.3333333333,-0.0005298393352,-0.03491184946,-0.04895885363,0.1289768015,756,False,not_effective,average_oos_sharpe -0.0366 >= 0.5000 failed; positive_sharpe_fraction 0.3333 >= 0.6667 failed; average_oos_annualized_return -0.0005 >= 0.0000 failed
USDJPY,FX,momentum,20/60日价格趋势（利率为反向收益率变化）,3,0.3998682555,0.2499157268,1,0.02462683255,-0.04824952272,-0.06670496957,0.09386983161,753,False,not_effective,average_oos_sharpe 0.3999 >= 0.5000 failed
USDJPY,FX,carry_signal,持有收益/曲线滚降,3,0,0,0,0,0,0,0,0,False,unavailable_input_or_no_signal,unavailable_input_or_no_signal
USDJPY,FX,mean_reversion,60日价格或收益率水平Z分数反转,3,-0.4974983968,-1.216804116,0.3333333333,-0.04811981549,-0.09694189467,-0.151272551,0.09978903054,755,False,not_effective,average_oos_sharpe -0.4975 >= 0.5000 failed; worst_window_sharpe -1.2168 >= -0.5000 failed; positive_sharpe_fraction 0.3333 >= 0.6667 failed; average_oos_annualized_return -0.0481 >= 0.0000 failed
USDJPY,FX,macro_signal,发布时点对齐的宏观篮子Z分数,3,0.3241231852,-1.196548045,0.3333333333,0.0424109359,-0.0961989386,-0.1461991061,0.04226782789,756,False,not_effective,average_oos_sharpe 0.3241 >= 0.5000 failed; worst_window_sharpe -1.1965 >= -0.5000 failed; positive_sharpe_fraction 0.3333 >= 0.6667 failed
USDJPY,FX,composite_signal,可用因子动态再加权综合信号,3,0.2305906442,-0.5107247467,0.6666666667,0.01839561898,-0.05782376779,-0.08117601457,0.06052071307,756,False,not_effective,average_oos_sharpe 0.2306 >= 0.5000 failed; worst_window_sharpe -0.5107 >= -0.5000 failed
AUDUSD,FX,momentum,20/60日价格趋势（利率为反向收益率变化）,3,-1.114635325,-1.485022696,0,-0.06367071186,-0.1073555758,-0.1233677573,0.1370458581,756,False,not_effective,average_oos_sharpe -1.1146 >= 0.5000 failed; worst_window_sharpe -1.4850 >= -0.5000 failed; positive_sharpe_fraction 0.0000 >= 0.6667 failed; average_oos_annualized_return -0.0637 >= 0.0000 failed
AUDUSD,FX,carry_signal,持有收益/曲线滚降,3,0,0,0,0,0,0,0,0,False,unavailable_input_or_no_signal,unavailable_input_or_no_signal
AUDUSD,FX,mean_reversion,60日价格或收益率水平Z分数反转,3,1.203634589,0.9133149788,1,0.09152374986,-0.0502781506,-0.07236723647,0.1742290096,756,True,effective,all_oos_thresholds_passed
AUDUSD,FX,macro_signal,发布时点对齐的宏观篮子Z分数,3,-0.6708083683,-1.410565575,0.3333333333,-0.04210660618,-0.1075733391,-0.1389723759,0.06914789319,756,False,not_effective,average_oos_sharpe -0.6708 >= 0.5000 failed; worst_window_sharpe -1.4106 >= -0.5000 failed; positive_sharpe_fraction 0.3333 >= 0.6667 failed; average_oos_annualized_return -0.0421 >= 0.0000 failed
AUDUSD,FX,composite_signal,可用因子动态再加权综合信号,3,-0.8732998154,-1.555118939,0.3333333333,-0.03608044416,-0.08059140281,-0.1044681107,0.08595274022,756,False,not_effective,average_oos_sharpe -0.8733 >= 0.5000 failed; worst_window_sharpe -1.5551 >= -0.5000 failed; positive_sharpe_fraction 0.3333 >= 0.6667 failed; average_oos_annualized_return -0.0361 >= 0.0000 failed
EURUSD,FX,momentum,20/60日价格趋势（利率为反向收益率变化）,3,0.1732205875,-0.6301729644,0.3333333333,0.01911189455,-0.05125413493,-0.06071893018,0.1525090245,756,False,not_effective,average_oos_sharpe 0.1732 >= 0.5000 failed; worst_window_sharpe -0.6302 >= -0.5000 failed; positive_sharpe_fraction 0.3333 >= 0.6667 failed
EURUSD,FX,carry_signal,持有收益/曲线滚降,3,0,0,0,0,0,0,0,0,False,unavailable_input_or_no_signal,unavailable_input_or_no_signal
EURUSD,FX,mean_reversion,60日价格或收益率水平Z分数反转,3,0.2620790593,-0.6348063294,0.6666666667,0.01340027899,-0.07416764275,-0.1283217299,0.1994701303,756,False,not_effective,average_oos_sharpe 0.2621 >= 0.5000 failed; worst_window_sharpe -0.6348 >= -0.5000 failed
EURUSD,FX,macro_signal,发布时点对齐的宏观篮子Z分数,3,0.04482832833,-0.3325983753,0.6666666667,-0.0007714894011,-0.08447722238,-0.1081408483,0.05461144244,756,False,not_effective,average_oos_sharpe 0.0448 >= 0.5000 failed; average_oos_annualized_return -0.0008 >= 0.0000 failed
EURUSD,FX,composite_signal,可用因子动态再加权综合信号,3,0.104348793,-0.2710018664,0.6666666667,0.005253999439,-0.05104895698,-0.0623679087,0.09129478041,756,False,not_effective,average_oos_sharpe 0.1043 >= 0.5000 failed
