signal_variant,window,train_start,train_end,test_start,test_end,train_observations,test_observations,active_position_days,sharpe,max_drawdown,annualized_return,turnover
momentum,1,2020-01-06,2022-11-28,2022-11-29,2023-11-15,756,252,252,-0.2231052147,-0.1290223721,-0.018461266,0.299016784
momentum,2,2020-12-23,2023-11-15,2023-11-16,2024-11-01,756,252,252,-0.6183647965,-0.09554167356,-0.04211978133,0.360090231
momentum,3,2021-12-10,2024-11-01,2024-11-04,2025-10-21,756,252,252,0.3849757333,-0.04927983164,0.02546050095,0.3345158061
carry_signal,1,2020-01-06,2022-11-28,2022-11-29,2023-11-15,756,252,0,0,0,0,0
carry_signal,2,2020-12-23,2023-11-15,2023-11-16,2024-11-01,756,252,0,0,0,0,0
carry_signal,3,2021-12-10,2024-11-01,2024-11-04,2025-10-21,756,252,0,0,0,0,0
mean_reversion,1,2020-01-06,2022-11-28,2022-11-29,2023-11-15,756,252,252,-0.3519276162,-0.08263418676,-0.02805513436,0.2710163306
mean_reversion,2,2020-12-23,2023-11-15,2023-11-16,2024-11-01,756,252,252,-0.03346904898,-0.04169198675,-0.003711105444,0.3053289346
mean_reversion,3,2021-12-10,2024-11-01,2024-11-04,2025-10-21,756,252,252,0.1684780092,-0.07217840003,0.009331044147,0.3499534623
macro_signal,1,2020-01-06,2022-11-28,2022-11-29,2023-11-15,756,252,252,-0.7158211895,-0.1483833582,-0.05872241624,0.1002631533
macro_signal,2,2020-12-23,2023-11-15,2023-11-16,2024-11-01,756,252,252,1.520152111,-0.08217458183,0.08981100165,0.1594161445
macro_signal,3,2021-12-10,2024-11-01,2024-11-04,2025-10-21,756,252,252,0.3158472607,-0.08129667995,0.02010035135,0.2115874924
composite_signal,1,2020-01-06,2022-11-28,2022-11-29,2023-11-15,756,252,252,-0.9210149914,-0.1620032552,-0.06818391317,0.2067084357
composite_signal,2,2020-12-23,2023-11-15,2023-11-16,2024-11-01,756,252,252,0.2827941088,-0.07991716974,0.01614400211,0.2406761319
composite_signal,3,2021-12-10,2024-11-01,2024-11-04,2025-10-21,756,252,252,0.06367885059,-0.09487013467,0.002025198805,0.2921405462
