instrument,asset_class,signal_variant,technical_indicator,window,train_start,train_end,test_start,test_end,train_observations,test_observations,active_position_days,sharpe,max_drawdown,annualized_return,turnover
UST_2Y,UST,momentum,20/60日价格趋势（利率为反向收益率变化）,1,2020-01-06,2022-11-28,2022-11-29,2023-11-15,756,252,252,-0.5401939449,-0.0334160329,-0.02233438022,0.2024460759
UST_2Y,UST,momentum,20/60日价格趋势（利率为反向收益率变化）,2,2020-12-23,2023-11-15,2023-11-16,2024-11-01,756,252,252,1.002104634,-0.02430491506,0.02856171458,0.1714219062
UST_2Y,UST,momentum,20/60日价格趋势（利率为反向收益率变化）,3,2021-12-10,2024-11-01,2024-11-04,2025-10-21,756,252,252,-0.9748391017,-0.02484012336,-0.01712403956,0.207147285
UST_2Y,UST,carry_signal,持有收益/曲线滚降,1,2020-01-06,2022-11-28,2022-11-29,2023-11-15,756,252,0,0,0,0,0
UST_2Y,UST,carry_signal,持有收益/曲线滚降,2,2020-12-23,2023-11-15,2023-11-16,2024-11-01,756,252,0,0,0,0,0
UST_2Y,UST,carry_signal,持有收益/曲线滚降,3,2021-12-10,2024-11-01,2024-11-04,2025-10-21,756,252,0,0,0,0,0
UST_2Y,UST,mean_reversion,60日价格或收益率水平Z分数反转,1,2020-01-06,2022-11-28,2022-11-29,2023-11-15,756,252,252,1.067150791,-0.02259089861,0.04368464582,0.2946292713
UST_2Y,UST,mean_reversion,60日价格或收益率水平Z分数反转,2,2020-12-23,2023-11-15,2023-11-16,2024-11-01,756,252,252,-1.40231875,-0.05125844068,-0.04504960746,0.1666381831
UST_2Y,UST,mean_reversion,60日价格或收益率水平Z分数反转,3,2021-12-10,2024-11-01,2024-11-04,2025-10-21,756,252,252,0.8517996551,-0.01633668177,0.02073543777,0.293025016
UST_2Y,UST,macro_signal,发布时点对齐的宏观篮子Z分数,1,2020-01-06,2022-11-28,2022-11-29,2023-11-15,756,252,252,-1.024820277,-0.04875659599,-0.02957103058,0.05912769387
UST_2Y,UST,macro_signal,发布时点对齐的宏观篮子Z分数,2,2020-12-23,2023-11-15,2023-11-16,2024-11-01,756,252,252,1.083969784,-0.01644623648,0.02899748991,0.07151029954
UST_2Y,UST,macro_signal,发布时点对齐的宏观篮子Z分数,3,2021-12-10,2024-11-01,2024-11-04,2025-10-21,756,252,252,-1.332620283,-0.0309435401,-0.0283496086,0.1025091792
UST_2Y,UST,composite_signal,可用因子动态再加权综合信号,1,2020-01-06,2022-11-28,2022-11-29,2023-11-15,756,252,252,-0.5732915534,-0.03545518861,-0.01846047518,0.1117453633
UST_2Y,UST,composite_signal,可用因子动态再加权综合信号,2,2020-12-23,2023-11-15,2023-11-16,2024-11-01,756,252,252,1.041501885,-0.01401068172,0.02039078379,0.1082105271
UST_2Y,UST,composite_signal,可用因子动态再加权综合信号,3,2021-12-10,2024-11-01,2024-11-04,2025-10-21,756,252,252,-1.19495441,-0.01880136796,-0.01593383653,0.1082294657
UST_5Y,UST,momentum,20/60日价格趋势（利率为反向收益率变化）,1,2020-01-06,2022-11-28,2022-11-29,2023-11-15,756,252,252,-0.4055901471,-0.05660186655,-0.02904858224,0.1704437161
UST_5Y,UST,momentum,20/60日价格趋势（利率为反向收益率变化）,2,2020-12-23,2023-11-15,2023-11-16,2024-11-01,756,252,252,0.9117971341,-0.06017605065,0.05494638114,0.1616292779
UST_5Y,UST,momentum,20/60日价格趋势（利率为反向收益率变化）,3,2021-12-10,2024-11-01,2024-11-04,2025-10-21,756,252,252,-0.6387204062,-0.06382706113,-0.03079572852,0.209345775
UST_5Y,UST,carry_signal,持有收益/曲线滚降,1,2020-01-06,2022-11-28,2022-11-29,2023-11-15,756,252,0,0,0,0,0
UST_5Y,UST,carry_signal,持有收益/曲线滚降,2,2020-12-23,2023-11-15,2023-11-16,2024-11-01,756,252,0,0,0,0,0
UST_5Y,UST,carry_signal,持有收益/曲线滚降,3,2021-12-10,2024-11-01,2024-11-04,2025-10-21,756,252,0,0,0,0,0
UST_5Y,UST,mean_reversion,60日价格或收益率水平Z分数反转,1,2020-01-06,2022-11-28,2022-11-29,2023-11-15,756,252,252,0.3877720896,-0.0673385079,0.02707858335,0.192195205
UST_5Y,UST,mean_reversion,60日价格或收益率水平Z分数反转,2,2020-12-23,2023-11-15,2023-11-16,2024-11-01,756,252,252,-1.27514804,-0.08974264743,-0.0885899443,0.1722056072
UST_5Y,UST,mean_reversion,60日价格或收益率水平Z分数反转,3,2021-12-10,2024-11-01,2024-11-04,2025-10-21,756,252,252,0.7107278002,-0.04146514952,0.0415485676,0.2883557346
UST_5Y,UST,macro_signal,发布时点对齐的宏观篮子Z分数,1,2020-01-06,2022-11-28,2022-11-29,2023-11-15,756,252,252,-0.9628111958,-0.1008271996,-0.05729936208,0.05783821869
UST_5Y,UST,macro_signal,发布时点对齐的宏观篮子Z分数,2,2020-12-23,2023-11-15,2023-11-16,2024-11-01,756,252,252,1.078460992,-0.04098001543,0.06751547858,0.07210308634
UST_5Y,UST,macro_signal,发布时点对齐的宏观篮子Z分数,3,2021-12-10,2024-11-01,2024-11-04,2025-10-21,756,252,252,-1.16093432,-0.06773737681,-0.06147757243,0.102477261
UST_5Y,UST,composite_signal,可用因子动态再加权综合信号,1,2020-01-06,2022-11-28,2022-11-29,2023-11-15,756,252,252,-0.7150863005,-0.06294253607,-0.03380389131,0.08992951361
UST_5Y,UST,composite_signal,可用因子动态再加权综合信号,2,2020-12-23,2023-11-15,2023-11-16,2024-11-01,756,252,252,0.9476655404,-0.03655431958,0.04011305473,0.100995797
UST_5Y,UST,composite_signal,可用因子动态再加权综合信号,3,2021-12-10,2024-11-01,2024-11-04,2025-10-21,756,252,252,-1.138093553,-0.04668364646,-0.0361227032,0.1097201124
UST_10Y,UST,momentum,20/60日价格趋势（利率为反向收益率变化）,1,2020-01-06,2022-11-28,2022-11-29,2023-11-15,756,252,252,-0.2292012274,-0.0528401131,-0.01719922364,0.1104194223
UST_10Y,UST,momentum,20/60日价格趋势（利率为反向收益率变化）,2,2020-12-23,2023-11-15,2023-11-16,2024-11-01,756,252,252,0.6574109777,-0.0743446426,0.0388277837,0.1140652053
UST_10Y,UST,momentum,20/60日价格趋势（利率为反向收益率变化）,3,2021-12-10,2024-11-01,2024-11-04,2025-10-21,756,252,252,-0.5080319506,-0.09028213599,-0.03328864713,0.1658928346
UST_10Y,UST,carry_signal,持有收益/曲线滚降,1,2020-01-06,2022-11-28,2022-11-29,2023-11-15,756,252,0,0,0,0,0
UST_10Y,UST,carry_signal,持有收益/曲线滚降,2,2020-12-23,2023-11-15,2023-11-16,2024-11-01,756,252,0,0,0,0,0
UST_10Y,UST,carry_signal,持有收益/曲线滚降,3,2021-12-10,2024-11-01,2024-11-04,2025-10-21,756,252,0,0,0,0,0
UST_10Y,UST,mean_reversion,60日价格或收益率水平Z分数反转,1,2020-01-06,2022-11-28,2022-11-29,2023-11-15,756,252,252,0.05449338327,-0.08904222757,0.001221213429,0.1253776352
UST_10Y,UST,mean_reversion,60日价格或收益率水平Z分数反转,2,2020-12-23,2023-11-15,2023-11-16,2024-11-01,756,252,252,-0.9770657967,-0.08299838197,-0.07082892914,0.128592253
UST_10Y,UST,mean_reversion,60日价格或收益率水平Z分数反转,3,2021-12-10,2024-11-01,2024-11-04,2025-10-21,756,252,252,0.60255111,-0.05102449796,0.04291636088,0.2177914972
UST_10Y,UST,macro_signal,发布时点对齐的宏观篮子Z分数,1,2020-01-06,2022-11-28,2022-11-29,2023-11-15,756,252,252,-1.192409919,-0.1039475377,-0.07097492034,0.03603982589
UST_10Y,UST,macro_signal,发布时点对齐的宏观篮子Z分数,2,2020-12-23,2023-11-15,2023-11-16,2024-11-01,756,252,252,1.141321804,-0.04508588625,0.07539371383,0.05147853028
UST_10Y,UST,macro_signal,发布时点对齐的宏观篮子Z分数,3,2021-12-10,2024-11-01,2024-11-04,2025-10-21,756,252,252,-1.140769838,-0.07705139637,-0.07507848461,0.08249772099
UST_10Y,UST,composite_signal,可用因子动态再加权综合信号,1,2020-01-06,2022-11-28,2022-11-29,2023-11-15,756,252,252,-0.7228376891,-0.05649045059,-0.03326506019,0.05708493943
UST_10Y,UST,composite_signal,可用因子动态再加权综合信号,2,2020-12-23,2023-11-15,2023-11-16,2024-11-01,756,252,252,0.8509613651,-0.04143838794,0.03488782862,0.06949346726
UST_10Y,UST,composite_signal,可用因子动态再加权综合信号,3,2021-12-10,2024-11-01,2024-11-04,2025-10-21,756,252,252,-1.13919232,-0.0607672976,-0.04629952581,0.09151276057
UST_30Y,UST,momentum,20/60日价格趋势（利率为反向收益率变化）,1,2020-01-06,2022-11-28,2022-11-29,2023-11-15,756,252,252,-0.4136626588,-0.07728603637,-0.02884937949,0.07359597729
UST_30Y,UST,momentum,20/60日价格趋势（利率为反向收益率变化）,2,2020-12-23,2023-11-15,2023-11-16,2024-11-01,756,252,252,0.1245218954,-0.08361911285,0.005553063019,0.07341436883
UST_30Y,UST,momentum,20/60日价格趋势（利率为反向收益率变化）,3,2021-12-10,2024-11-01,2024-11-04,2025-10-21,756,252,252,-0.7994517989,-0.1100099827,-0.05170474028,0.1061900722
UST_30Y,UST,carry_signal,持有收益/曲线滚降,1,2020-01-06,2022-11-28,2022-11-29,2023-11-15,756,252,0,0,0,0,0
UST_30Y,UST,carry_signal,持有收益/曲线滚降,2,2020-12-23,2023-11-15,2023-11-16,2024-11-01,756,252,0,0,0,0,0
UST_30Y,UST,carry_signal,持有收益/曲线滚降,3,2021-12-10,2024-11-01,2024-11-04,2025-10-21,756,252,0,0,0,0,0
UST_30Y,UST,mean_reversion,60日价格或收益率水平Z分数反转,1,2020-01-06,2022-11-28,2022-11-29,2023-11-15,756,252,252,0.3506073516,-0.1089425187,0.0243797279,0.1014529656
UST_30Y,UST,mean_reversion,60日价格或收益率水平Z分数反转,2,2020-12-23,2023-11-15,2023-11-16,2024-11-01,756,252,252,-0.3905920695,-0.0594808736,-0.02947641564,0.08571847115
UST_30Y,UST,mean_reversion,60日价格或收益率水平Z分数反转,3,2021-12-10,2024-11-01,2024-11-04,2025-10-21,756,252,252,0.8352029114,-0.04894067003,0.06058649794,0.1291496729
UST_30Y,UST,macro_signal,发布时点对齐的宏观篮子Z分数,1,2020-01-06,2022-11-28,2022-11-29,2023-11-15,756,252,252,-1.390232549,-0.1097280678,-0.0824283449,0.02229880405
UST_30Y,UST,macro_signal,发布时点对齐的宏观篮子Z分数,2,2020-12-23,2023-11-15,2023-11-16,2024-11-01,756,252,252,1.045607091,-0.0498184266,0.06961020722,0.02943833342
UST_30Y,UST,macro_signal,发布时点对齐的宏观篮子Z分数,3,2021-12-10,2024-11-01,2024-11-04,2025-10-21,756,252,252,-0.8864817689,-0.06288358805,-0.06072091052,0.04473788077
UST_30Y,UST,composite_signal,可用因子动态再加权综合信号,1,2020-01-06,2022-11-28,2022-11-29,2023-11-15,756,252,252,-0.895661883,-0.07142836766,-0.04296872748,0.03699069804
UST_30Y,UST,composite_signal,可用因子动态再加权综合信号,2,2020-12-23,2023-11-15,2023-11-16,2024-11-01,756,252,252,0.5726949361,-0.04519735184,0.02257149186,0.04051000762
UST_30Y,UST,composite_signal,可用因子动态再加权综合信号,3,2021-12-10,2024-11-01,2024-11-04,2025-10-21,756,252,252,-1.056041169,-0.06042561427,-0.04287078839,0.05991179247
USDCNY,FX,momentum,20/60日价格趋势（利率为反向收益率变化）,1,2020-01-06,2022-11-28,2022-11-29,2023-11-15,756,252,252,0.7680373898,-0.04948176828,0.0351516534,0.1293968646
USDCNY,FX,momentum,20/60日价格趋势（利率为反向收益率变化）,2,2020-12-23,2023-11-15,2023-11-16,2024-11-01,756,252,252,-0.08510021521,-0.03503373229,-0.00419406856,0.1460079306
USDCNY,FX,momentum,20/60日价格趋势（利率为反向收益率变化）,3,2021-12-10,2024-11-01,2024-11-04,2025-10-21,756,252,252,-0.2799216347,-0.05167948871,-0.01035033751,0.1972309811
USDCNY,FX,carry_signal,持有收益/曲线滚降,1,2020-01-06,2022-11-28,2022-11-29,2023-11-15,756,252,0,0,0,0,0
USDCNY,FX,carry_signal,持有收益/曲线滚降,2,2020-12-23,2023-11-15,2023-11-16,2024-11-01,756,252,0,0,0,0,0
USDCNY,FX,carry_signal,持有收益/曲线滚降,3,2021-12-10,2024-11-01,2024-11-04,2025-10-21,756,252,0,0,0,0,0
USDCNY,FX,mean_reversion,60日价格或收益率水平Z分数反转,1,2020-01-06,2022-11-28,2022-11-29,2023-11-15,756,252,252,-1.212560513,-0.09322682199,-0.07477267159,0.1499660782
USDCNY,FX,mean_reversion,60日价格或收益率水平Z分数反转,2,2020-12-23,2023-11-15,2023-11-16,2024-11-01,756,252,252,-0.6549564919,-0.05440115384,-0.03179397622,0.1785458174
USDCNY,FX,mean_reversion,60日价格或收益率水平Z分数反转,3,2021-12-10,2024-11-01,2024-11-04,2025-10-21,756,252,252,-0.0255972694,-0.04589097805,-0.002012415575,0.2369813721
USDCNY,FX,macro_signal,发布时点对齐的宏观篮子Z分数,1,2020-01-06,2022-11-28,2022-11-29,2023-11-15,756,252,252,-0.4615491922,-0.05890041286,-0.02640713978,0.1017893146
USDCNY,FX,macro_signal,发布时点对齐的宏观篮子Z分数,2,2020-12-23,2023-11-15,2023-11-16,2024-11-01,756,252,252,0.6409395729,-0.03245964746,0.02037349429,0.16968626
USDCNY,FX,macro_signal,发布时点对齐的宏观篮子Z分数,3,2021-12-10,2024-11-01,2024-11-04,2025-10-21,756,252,252,-0.1014332079,-0.04251370983,-0.00442221206,0.1973131055
USDCNY,FX,composite_signal,可用因子动态再加权综合信号,1,2020-01-06,2022-11-28,2022-11-29,2023-11-15,756,252,252,0.1413771925,-0.04895885363,0.005273637439,0.09147746077
USDCNY,FX,composite_signal,可用因子动态再加权综合信号,2,2020-12-23,2023-11-15,2023-11-16,2024-11-01,756,252,252,-0.1601650989,-0.02590773064,-0.00446233836,0.131355588
USDCNY,FX,composite_signal,可用因子动态再加权综合信号,3,2021-12-10,2024-11-01,2024-11-04,2025-10-21,756,252,252,-0.09110337551,-0.02986896412,-0.002400817085,0.1640973559
USDJPY,FX,momentum,20/60日价格趋势（利率为反向收益率变化）,1,2020-01-06,2022-11-28,2022-11-29,2023-11-15,756,252,252,0.6493356152,-0.0401092109,0.03915833103,0.06764842252
USDJPY,FX,momentum,20/60日价格趋势（利率为反向收益率变化）,2,2020-12-23,2023-11-15,2023-11-16,2024-11-01,756,252,252,0.3003534245,-0.06670496957,0.02247637378,0.1101608423
USDJPY,FX,momentum,20/60日价格趋势（利率为反向收益率变化）,3,2021-12-10,2024-11-01,2024-11-04,2025-10-21,756,252,249,0.2499157268,-0.03793438769,0.01224579284,0.10380023
USDJPY,FX,carry_signal,持有收益/曲线滚降,1,2020-01-06,2022-11-28,2022-11-29,2023-11-15,756,252,0,0,0,0,0
USDJPY,FX,carry_signal,持有收益/曲线滚降,2,2020-12-23,2023-11-15,2023-11-16,2024-11-01,756,252,0,0,0,0,0
USDJPY,FX,carry_signal,持有收益/曲线滚降,3,2021-12-10,2024-11-01,2024-11-04,2025-10-21,756,252,0,0,0,0,0
USDJPY,FX,mean_reversion,60日价格或收益率水平Z分数反转,1,2020-01-06,2022-11-28,2022-11-29,2023-11-15,756,252,252,-0.8325363147,-0.08613256954,-0.06081850397,0.07383309448
USDJPY,FX,mean_reversion,60日价格或收益率水平Z分数反转,2,2020-12-23,2023-11-15,2023-11-16,2024-11-01,756,252,252,-1.216804116,-0.151272551,-0.1215241851,0.08898902054
USDJPY,FX,mean_reversion,60日价格或收益率水平Z分数反转,3,2021-12-10,2024-11-01,2024-11-04,2025-10-21,756,252,251,0.5568452404,-0.05342056351,0.03798324261,0.1365449766
USDJPY,FX,macro_signal,发布时点对齐的宏观篮子Z分数,1,2020-01-06,2022-11-28,2022-11-29,2023-11-15,756,252,252,-1.196548045,-0.1461991061,-0.08950973838,0.0253061702
USDJPY,FX,macro_signal,发布时点对齐的宏观篮子Z分数,2,2020-12-23,2023-11-15,2023-11-16,2024-11-01,756,252,252,2.330557903,-0.07011370901,0.2295325668,0.04337643039
USDJPY,FX,macro_signal,发布时点对齐的宏观篮子Z分数,3,2021-12-10,2024-11-01,2024-11-04,2025-10-21,756,252,252,-0.1616403018,-0.07228400071,-0.01279002067,0.05812088307
USDJPY,FX,composite_signal,可用因子动态再加权综合信号,1,2020-01-06,2022-11-28,2022-11-29,2023-11-15,756,252,252,-0.5107247467,-0.08117601457,-0.02796438457,0.04059907656
USDJPY,FX,composite_signal,可用因子动态再加权综合信号,2,2020-12-23,2023-11-15,2023-11-16,2024-11-01,756,252,252,1.118621895,-0.05728772334,0.08074210187,0.0652186961
USDJPY,FX,composite_signal,可用因子动态再加权综合信号,3,2021-12-10,2024-11-01,2024-11-04,2025-10-21,756,252,252,0.08387478392,-0.03500756546,0.002409139633,0.07574436655
AUDUSD,FX,momentum,20/60日价格趋势（利率为反向收益率变化）,1,2020-01-06,2022-11-28,2022-11-29,2023-11-15,756,252,252,-1.004087055,-0.08541900028,-0.05098791461,0.1131917294
AUDUSD,FX,momentum,20/60日价格趋势（利率为反向收益率变化）,2,2020-12-23,2023-11-15,2023-11-16,2024-11-01,756,252,252,-1.485022696,-0.1233677573,-0.07930822612,0.1567883193
AUDUSD,FX,momentum,20/60日价格趋势（利率为反向收益率变化）,3,2021-12-10,2024-11-01,2024-11-04,2025-10-21,756,252,252,-0.8547962246,-0.1132799699,-0.06071599486,0.1411575257
AUDUSD,FX,carry_signal,持有收益/曲线滚降,1,2020-01-06,2022-11-28,2022-11-29,2023-11-15,756,252,0,0,0,0,0
AUDUSD,FX,carry_signal,持有收益/曲线滚降,2,2020-12-23,2023-11-15,2023-11-16,2024-11-01,756,252,0,0,0,0,0
AUDUSD,FX,carry_signal,持有收益/曲线滚降,3,2021-12-10,2024-11-01,2024-11-04,2025-10-21,756,252,0,0,0,0,0
AUDUSD,FX,mean_reversion,60日价格或收益率水平Z分数反转,1,2020-01-06,2022-11-28,2022-11-29,2023-11-15,756,252,252,1.127594003,-0.03068271626,0.07668858635,0.1447406096
AUDUSD,FX,mean_reversion,60日价格或收益率水平Z分数反转,2,2020-12-23,2023-11-15,2023-11-16,2024-11-01,756,252,252,0.9133149788,-0.04778449906,0.06622265152,0.1790848348
AUDUSD,FX,mean_reversion,60日价格或收益率水平Z分数反转,3,2021-12-10,2024-11-01,2024-11-04,2025-10-21,756,252,252,1.569994785,-0.07236723647,0.1316600117,0.1988615844
AUDUSD,FX,macro_signal,发布时点对齐的宏观篮子Z分数,1,2020-01-06,2022-11-28,2022-11-29,2023-11-15,756,252,252,-1.410565575,-0.1389723759,-0.09231755343,0.05678316667
AUDUSD,FX,macro_signal,发布时点对齐的宏观篮子Z分数,2,2020-12-23,2023-11-15,2023-11-16,2024-11-01,756,252,252,-0.9400563558,-0.1270960722,-0.05998367097,0.08523230969
AUDUSD,FX,macro_signal,发布时点对齐的宏观篮子Z分数,3,2021-12-10,2024-11-01,2024-11-04,2025-10-21,756,252,252,0.3381968255,-0.05665156905,0.02598140588,0.06542820321
AUDUSD,FX,composite_signal,可用因子动态再加权综合信号,1,2020-01-06,2022-11-28,2022-11-29,2023-11-15,756,252,252,-1.322456861,-0.09263849516,-0.05449816093,0.06591735346
AUDUSD,FX,composite_signal,可用因子动态再加权综合信号,2,2020-12-23,2023-11-15,2023-11-16,2024-11-01,756,252,252,-1.555118939,-0.1044681107,-0.06583707355,0.1028386554
AUDUSD,FX,composite_signal,可用因子动态再加权综合信号,3,2021-12-10,2024-11-01,2024-11-04,2025-10-21,756,252,252,0.2576763534,-0.04466760256,0.01209390199,0.08910221184
EURUSD,FX,momentum,20/60日价格趋势（利率为反向收益率变化）,1,2020-01-06,2022-11-28,2022-11-29,2023-11-15,756,252,252,-0.1685340532,-0.06071893018,-0.01153055361,0.1202723738
EURUSD,FX,momentum,20/60日价格趋势（利率为反向收益率变化）,2,2020-12-23,2023-11-15,2023-11-16,2024-11-01,756,252,252,-0.6301729644,-0.05875714372,-0.03583874641,0.2188757137
EURUSD,FX,momentum,20/60日价格趋势（利率为反向收益率变化）,3,2021-12-10,2024-11-01,2024-11-04,2025-10-21,756,252,252,1.31836878,-0.03428633088,0.1047049837,0.118378986
EURUSD,FX,carry_signal,持有收益/曲线滚降,1,2020-01-06,2022-11-28,2022-11-29,2023-11-15,756,252,0,0,0,0,0
EURUSD,FX,carry_signal,持有收益/曲线滚降,2,2020-12-23,2023-11-15,2023-11-16,2024-11-01,756,252,0,0,0,0,0
EURUSD,FX,carry_signal,持有收益/曲线滚降,3,2021-12-10,2024-11-01,2024-11-04,2025-10-21,756,252,0,0,0,0,0
EURUSD,FX,mean_reversion,60日价格或收益率水平Z分数反转,1,2020-01-06,2022-11-28,2022-11-29,2023-11-15,756,252,252,0.6375678447,-0.04941979732,0.04184801394,0.1761796159
EURUSD,FX,mean_reversion,60日价格或收益率水平Z分数反转,2,2020-12-23,2023-11-15,2023-11-16,2024-11-01,756,252,252,0.7834756626,-0.04476140105,0.05338105035,0.2559632301
